num_chains,chain_length,starting_state,A_all,B_all,C_all,A_end,B_end,C_end
10,10.0,A,40.0,37.0,23.0,2.0,3.0,5.0
10,10.0,A,42.0,39.0,19.0,5.0,4.0,1.0
10,10.0,A,45.0,34.0,21.0,5.0,3.0,2.0
10,10.0,B,37.0,43.0,20.0,2.0,4.0,4.0
10,10.0,C,41.0,33.0,26.0,6.0,2.0,2.0
10,10.0,A,41.0,35.0,24.0,5.0,4.0,1.0
10,10.0,B,37.0,42.0,21.0,3.0,3.0,4.0
10,10.0,C,35.0,36.0,29.0,4.0,3.0,3.0
10,10.0,A,41.0,40.0,19.0,3.0,5.0,2.0
10,10.0,B,36.0,42.0,22.0,6.0,2.0,2.0
10,10.0,C,35.0,37.0,28.0,4.0,5.0,1.0
1000,100.0,A,38942.0,38230.0,22828.0,393.0,373.0,234.0
1000,100.0,B,38251.0,38787.0,22962.0,385.0,390.0,225.0
1000,100.0,C,38078.0,38183.0,23739.0,389.0,416.0,195.0
10000,1000.0,A,3849972.0,3844834.0,2305194.0,3749.0,3915.0,2336.0
1000,1000.0,A,385011.0,384535.0,230454.0,390.0,369.0,241.0
1000,1000.0,B,384249.0,385273.0,230478.0,371.0,374.0,255.0
1000,1000.0,C,384457.0,383968.0,231575.0,363.0,394.0,243.0
1000,1000.0,A,384702.0,384600.0,230698.0,365.0,375.0,260.0
1000,1000.0,B,384433.0,385021.0,230546.0,377.0,396.0,227.0
1000,1000.0,C,384540.0,384599.0,230861.0,404.0,369.0,227.0
1000,1000.0,A,385127.0,384544.0,230329.0,391.0,397.0,212.0
1000,1000.0,B,384268.0,384996.0,230736.0,395.0,375.0,230.0
1000,1000.0,C,384559.0,384186.0,231255.0,360.0,405.0,235.0
1000,1000.0,A,384749.0,384288.0,230963.0,389.0,384.0,227.0
1000,1000.0,B,385025.0,384904.0,230071.0,379.0,367.0,254.0
1000,1000.0,C,384577.0,384640.0,230783.0,388.0,379.0,233.0
1000,1000.0,A,385043.0,384649.0,230308.0,378.0,380.0,242.0
1000,1000.0,B,384233.0,385083.0,230684.0,389.0,386.0,225.0
1000,1000.0,C,384587.0,384001.0,231412.0,389.0,386.0,225.0
1000,1000.0,A,385030.0,384812.0,230158.0,380.0,379.0,241.0
1000,1000.0,B,384860.0,384648.0,230492.0,354.0,420.0,226.0
1000,1000.0,C,384540.0,383954.0,231506.0,362.0,401.0,237.0
1000,1000.0,A,384914.0,384228.0,230858.0,401.0,376.0,223.0
1000,1000.0,B,384678.0,384622.0,230700.0,385.0,378.0,237.0
1000,1000.0,C,384143.0,384273.0,231584.0,367.0,409.0,224.0
1000,1000.0,A,384550.0,384385.0,231065.0,381.0,410.0,209.0
1000,1000.0,B,384153.0,384690.0,231157.0,402.0,362.0,236.0
1000,1000.0,C,384246.0,384029.0,231725.0,381.0,412.0,207.0
1000,1000.0,A,385236.0,384285.0,230479.0,398.0,388.0,214.0
1000,1000.0,B,384598.0,385318.0,230084.0,382.0,383.0,235.0
1000,1000.0,C,384126.0,384353.0,231521.0,377.0,400.0,223.0
1000,1000.0,A,385010.0,384524.0,230466.0,391.0,357.0,252.0
1000,1000.0,B,384638.0,385188.0,230174.0,359.0,395.0,246.0
1000,1000.0,C,384113.0,384354.0,231533.0,380.0,378.0,242.0
1000,1000.0,A,384957.0,384706.0,230337.0,389.0,395.0,216.0
1000,1000.0,B,384723.0,384789.0,230488.0,394.0,379.0,227.0
1000,1000.0,C,384465.0,383981.0,231554.0,394.0,373.0,233.0
1000,1000.0,A,385195.0,384505.0,230300.0,358.0,391.0,251.0
1000,1000.0,B,384056.0,384957.0,230987.0,384.0,393.0,223.0
1000,1000.0,C,383872.0,384232.0,231896.0,411.0,386.0,203.0
1000,1000.0,A,384899.0,384629.0,230472.0,392.0,356.0,252.0
1000,1000.0,B,384042.0,384941.0,231017.0,399.0,373.0,228.0
1000,1000.0,C,384385.0,384526.0,231089.0,397.0,371.0,232.0
1000,1000.0,A,385151.0,384395.0,230454.0,365.0,388.0,247.0
1000,1000.0,B,384289.0,385260.0,230451.0,368.0,408.0,224.0
1000,1000.0,C,384128.0,384364.0,231508.0,376.0,395.0,229.0
1000,1000.0,A,384696.0,384150.0,231154.0,346.0,409.0,245.0
1000,1000.0,B,384572.0,384673.0,230755.0,377.0,404.0,219.0
1000,1000.0,C,384017.0,384202.0,231781.0,375.0,380.0,245.0
1000,1000.0,A,385419.0,384348.0,230233.0,394.0,386.0,220.0
1000,1000.0,B,384152.0,385199.0,230649.0,384.0,384.0,232.0
1000,1000.0,C,384444.0,384499.0,231057.0,388.0,393.0,219.0
1000,1000.0,A,384908.0,384693.0,230399.0,405.0,360.0,235.0
1000,1000.0,B,384378.0,384709.0,230913.0,367.0,390.0,243.0
1000,1000.0,C,384437.0,384309.0,231254.0,366.0,408.0,226.0
1000,1000.0,A,385277.0,384673.0,230050.0,411.0,365.0,224.0
1000,1000.0,B,384536.0,384887.0,230577.0,361.0,391.0,248.0
1000,1000.0,C,384335.0,384414.0,231251.0,379.0,379.0,242.0
1000,1000.0,A,384929.0,384637.0,230434.0,396.0,376.0,228.0
1000,1000.0,B,384322.0,384867.0,230811.0,364.0,403.0,233.0
1000,1000.0,C,384339.0,383804.0,231857.0,375.0,392.0,233.0
1000,1000.0,A,385583.0,384301.0,230116.0,399.0,364.0,237.0
1000,1000.0,B,384206.0,385108.0,230686.0,395.0,387.0,218.0
1000,1000.0,C,384586.0,384116.0,231298.0,392.0,397.0,211.0
10,100000.0,A,384256.0,384904.0,230840.0,7.0,2.0,1.0
10,100000.0,B,384344.0,384105.0,231551.0,7.0,2.0,1.0
10,100000.0,C,384475.0,384886.0,230639.0,5.0,4.0,1.0
10,100000.0,A,384591.0,384741.0,230668.0,5.0,3.0,2.0
10,100000.0,B,384841.0,384693.0,230466.0,4.0,5.0,1.0
10,100000.0,C,384657.0,384331.0,231012.0,1.0,4.0,5.0
10,100000.0,A,384683.0,384194.0,231123.0,3.0,6.0,1.0
10,100000.0,B,384494.0,385112.0,230394.0,4.0,4.0,2.0
10,100000.0,C,384309.0,384149.0,231542.0,4.0,5.0,1.0
10,100000.0,A,385029.0,384941.0,230030.0,4.0,4.0,2.0
10,100000.0,B,384710.0,384291.0,230999.0,2.0,4.0,4.0
10,100000.0,C,384506.0,384360.0,231134.0,3.0,6.0,1.0
10,100000.0,A,385109.0,384726.0,230165.0,2.0,4.0,4.0
10,100000.0,B,384304.0,384823.0,230873.0,4.0,3.0,3.0
10,100000.0,C,384752.0,384591.0,230657.0,5.0,3.0,2.0
10,100000.0,A,384966.0,384827.0,230207.0,5.0,2.0,3.0
10,100000.0,B,384392.0,384984.0,230624.0,4.0,4.0,2.0
10,100000.0,C,384688.0,384394.0,230918.0,4.0,3.0,3.0
10,100000.0,A,384731.0,384866.0,230403.0,3.0,5.0,2.0
10,100000.0,B,384704.0,384558.0,230738.0,3.0,4.0,3.0
10,100000.0,C,384288.0,384689.0,231023.0,6.0,3.0,1.0
10,100000.0,A,384901.0,384667.0,230432.0,4.0,4.0,2.0
10,100000.0,B,384797.0,384451.0,230752.0,2.0,5.0,3.0
10,100000.0,C,384476.0,384736.0,230788.0,5.0,2.0,3.0
10,100000.0,A,384643.0,384230.0,231127.0,3.0,3.0,4.0
10,100000.0,B,384407.0,385085.0,230508.0,3.0,6.0,1.0
10,100000.0,C,384365.0,384564.0,231071.0,5.0,3.0,2.0
10,100000.0,A,384839.0,384643.0,230518.0,4.0,5.0,1.0
10,100000.0,B,384602.0,384512.0,230886.0,3.0,4.0,3.0
10,100000.0,C,384367.0,384642.0,230991.0,4.0,3.0,3.0
